[2026-05-29 16:25:51,715] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/2318?pC_Id=1470&slug=fruits-vegetables
[2026-05-29 16:25:51,834] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/2318?pC_Id=1468&slug=nuts-sweets
[2026-05-29 16:25:51,950] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/2318?pC_Id=1850&slug=multiples
[2026-05-29 16:25:52,420] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1467&slug=kalabarg
[2026-05-29 16:25:52,634] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1467&slug=refreshments
[2026-05-29 16:25:52,773] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1462&slug=dairy-products
[2026-05-29 16:25:52,880] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1461&slug=groceries
[2026-05-29 16:25:52,990] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1471&slug=home-hygiene
[2026-05-29 16:25:53,202] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1465&slug=beverages
[2026-05-29 16:25:53,353] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1469&slug=spices
[2026-05-29 16:25:53,510] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1464&slug=canned-ready-food
[2026-05-29 16:25:53,624] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1472&slug=cosmetics-hygiene
[2026-05-29 16:25:53,801] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1463&slug=proteins
[2026-05-29 16:25:53,906] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1466&slug=breakfast-goods
[2026-05-29 16:25:54,049] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1473&slug=home-stuff
[2026-05-29 16:25:54,229] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1474&slug=baby-mother-care
[2026-05-29 16:25:54,317] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1470&slug=fruits-vegetables
[2026-05-29 16:25:54,496] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1468&slug=nuts-sweets
[2026-05-29 16:25:54,606] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10381?pC_Id=1850&slug=multiples
[2026-05-29 16:25:54,716] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1467&slug=kalabarg
[2026-05-29 16:25:54,826] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1467&slug=refreshments
[2026-05-29 16:25:54,948] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1462&slug=dairy-products
[2026-05-29 16:25:55,104] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1461&slug=groceries
[2026-05-29 16:25:55,345] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1471&slug=home-hygiene
[2026-05-29 16:25:55,479] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1465&slug=beverages
[2026-05-29 16:25:55,635] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1469&slug=spices
[2026-05-29 16:25:55,786] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1464&slug=canned-ready-food
[2026-05-29 16:25:55,921] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1472&slug=cosmetics-hygiene
[2026-05-29 16:25:56,068] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1463&slug=proteins
[2026-05-29 16:25:56,208] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1466&slug=breakfast-goods
[2026-05-29 16:25:56,316] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1473&slug=home-stuff
[2026-05-29 16:25:56,426] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1474&slug=baby-mother-care
[2026-05-29 16:25:56,527] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1470&slug=fruits-vegetables
[2026-05-29 16:25:56,635] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1468&slug=nuts-sweets
[2026-05-29 16:25:56,738] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9020?pC_Id=1850&slug=multiples
[2026-05-29 16:25:56,871] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1467&slug=kalabarg
[2026-05-29 16:25:57,245] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1467&slug=refreshments
[2026-05-29 16:25:57,525] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1462&slug=dairy-products
[2026-05-29 16:25:57,789] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1461&slug=groceries
[2026-05-29 16:25:58,038] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1471&slug=home-hygiene
[2026-05-29 16:25:58,421] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1465&slug=beverages
[2026-05-29 16:25:58,862] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1469&slug=spices
[2026-05-29 16:25:59,132] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1464&slug=canned-ready-food
[2026-05-29 16:25:59,328] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1472&slug=cosmetics-hygiene
[2026-05-29 16:25:59,853] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1463&slug=proteins
[2026-05-29 16:26:00,010] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/9768?pC_Id=1466&slug=breakfast-goods
